,subject_fn,age,school,sex,sex_bool,cond_C_bool,cond_G_bool,session,child_selected_00,child_result_00,child_selected_01,child_result_01,left_LE_01,mid_LE_01,child_selected_02,child_result_02,left_LE_02,mid_LE_02,child_selected_03,child_result_03,left_LE_03,mid_LE_03,child_selected_04,child_result_04,left_LE_04,mid_LE_04,child_selected_05,child_result_05,left_LE_05,mid_LE_05
446,p024,7.0,A,M,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,0.9698818891476362,0.9616521199544271,2.0,1.0,0.9616521199544271,0.959145766038161,1.0,0.0,0.3123774895301232,0.17650925807463816,2.0,,0.17650925807463816,0.17855583093105218,2.0,,0.17855583093105218,0.17970053354899088
450,p039,7.0,A,M,1.0,0.0,0.0,1,0.0,1.0,2.0,1.0,0.10245858705960788,0.10389416034405048,1.0,1.0,0.02797090395902976,0.025240387672033064,1.0,0.0,0.020436982313791912,0.017730144354013298,1.0,0.0,0.017730144354013298,0.01665943096845578,2.0,,0.01665943096845578,0.017122938082768366
460,p031,7.0,A,F,0.0,1.0,0.0,1,2.0,1.0,2.0,0.0,0.4011278396997696,0.3178064150687976,2.0,0.0,0.3178064150687976,0.21293317354642427,1.0,0.0,0.21293317354642427,0.10531836289625901,1.0,0.0,0.10531836289625901,0.10693102616530198,1.0,,0.10693102616530198,0.1080308571839944
464,p043,8.0,A,M,1.0,1.0,0.0,1,1.0,1.0,2.0,1.0,0.08047783680451222,0.08202391404371995,0.0,1.0,0.0337372437501565,0.030547487430083446,0.0,0.0,0.029730047935094588,0.026543452189518854,1.0,0.0,0.026543452189518854,0.02382741371790568,0.0,1.0,0.02382741371790568,0.024501672157874473
503,p134,5.0,B,M,1.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.08047783680451222,0.08202391404371995,1.0,0.0,0.08202391404371995,0.08181708898299779,1.0,0.0,0.08181708898299779,0.08348324359991612,2.0,0.0,0.08348324359991612,0.08514806551811023,0.0,0.0,0.08514806551811023,0.08609928840245956
516,p003,5.0,A,M,1.0,1.0,1.0,1,2.0,1.0,2.0,0.0,0.4011278396997696,0.3178064150687976,2.0,1.0,0.3178064150687976,0.21293317354642427,0.0,0.0,0.1692970960568159,0.07860160485292092,1.0,0.0,0.1692970960568159,0.07860160485292092,2.0,0.0,0.07860160485292092,0.07964804233648838
520,p055,6.0,A,M,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.9698818891476362,0.9616521199544271,1.0,0.0,0.9616521199544271,0.959145766038161,1.0,0.0,0.959145766038161,0.9539074041904547,0.0,,0.9539074041904547,0.950863764836238,1.0,,0.950863764836238,0.9470786070212339
532,p140,5.0,B,F,0.0,0.0,1.0,1,0.0,1.0,1.0,0.0,0.10245858705960788,0.10389416034405048,1.0,0.0,0.10389416034405048,0.1055912849230644,0.0,0.0,0.1055912849230644,0.10530941302959736,1.0,0.0,0.10530941302959736,0.10757294679299378,1.0,0.0,0.10757294679299378,0.10943747789431842
556,p114,5.0,B,F,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,0.10245858705960788,0.10389416034405048,1.0,1.0,0.0778505374223758,0.07918415314111954,1.0,0.0,0.06167995624053173,0.06131557929210174,1.0,0.0,0.06131557929210174,0.06261970446659969,1.0,1.0,0.06261970446659969,0.06375816540840344
557,p015,7.0,A,M,1.0,0.0,1.0,1,0.0,0.0,0.0,1.0,0.982697022266877,0.9698818891476362,0.0,0.0,0.10389416034405048,0.1055912849230644,0.0,0.0,0.10389416034405048,0.1055912849230644,0.0,0.0,0.1055912849230644,0.10530941302959736,0.0,1.0,0.1055912849230644,0.10530941302959736
579,p109,6.0,B,M,1.0,0.0,0.0,1,1.0,1.0,2.0,0.0,0.08047783680451222,0.08202391404371995,0.0,1.0,0.08202391404371995,0.08181708898299779,2.0,0.0,0.05907118626129933,0.05874714484581581,1.0,0.0,0.05874714484581581,0.06005775011502779,1.0,1.0,0.06005775011502779,0.06124406594496507
580,p037,7.0,A,M,1.0,1.0,1.0,1,2.0,1.0,1.0,1.0,0.4011278396997696,0.3178064150687976,2.0,1.0,0.09262367395254281,0.05949780268546862,0.0,0.0,0.04848796282059107,0.031230935683617227,1.0,0.0,0.04848796282059107,0.031230935683617227,0.0,0.0,0.031230935683617227,0.03198115030924479
582,p042,8.0,A,F,0.0,1.0,1.0,1,1.0,1.0,0.0,1.0,0.08047783680451222,0.08202391404371995,1.0,1.0,0.0613862856840476,0.06123735354496883,1.0,0.0,0.05150036934094551,0.05266030629475912,0.0,0.0,0.05266030629475912,0.053484189204680614,1.0,,0.053484189204680614,0.05428893749530499
584,p022,7.0,A,M,1.0,1.0,0.0,1,1.0,0.0,2.0,0.0,0.9698818891476362,0.9616521199544271,1.0,1.0,0.9616521199544271,0.959145766038161,1.0,0.0,0.07169880011142829,0.07328658837538499,1.0,0.0,0.07328658837538499,0.07448335794302133,0.0,0.0,0.07448335794302133,0.07538475134433845
589,p102,5.0,B,M,1.0,0.0,1.0,1,1.0,1.0,2.0,1.0,0.08047783680451222,0.08202391404371995,0.0,1.0,0.0337372437501565,0.030547487430083446,1.0,0.0,0.029730047935094588,0.026543452189518854,1.0,0.0,0.026543452189518854,0.02382741371790568,1.0,1.0,0.02382741371790568,0.024501672157874473
596,p113,6.0,B,F,0.0,0.0,0.0,1,2.0,1.0,2.0,0.0,0.4011278396997696,0.3178064150687976,2.0,0.0,0.3178064150687976,0.21293317354642427,1.0,0.0,0.21293317354642427,0.10531836289625901,2.0,0.0,0.10531836289625901,0.10693102616530198,0.0,1.0,0.10693102616530198,0.1080308571839944
632,p124,5.0,B,M,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.08047783680451222,0.08202391404371995,0.0,1.0,0.05907118626129933,0.05874714484581581,0.0,1.0,0.04829286917662009,0.049384221052512146,1.0,0.0,0.04385797794048603,0.04481694637200771,1.0,1.0,0.04481694637200771,0.045323500266441934
642,p032,6.0,A,F,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.08047783680451222,0.08202391404371995,1.0,1.0,0.05907118626129933,0.05874714484581581,1.0,0.0,0.049541882979564175,0.05062967080336351,0.0,0.0,0.05062967080336351,0.05127246563251202,0.0,1.0,0.05127246563251202,0.05222406142797226
668,p138,4.0,B,F,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,0.08047783680451222,0.08202391404371995,0.0,1.0,0.0613862856840476,0.06123735354496883,1.0,0.0,0.05129823317894569,0.050989291606805265,0.0,0.0,0.050989291606805265,0.05215274981963329,0.0,1.0,0.05215274981963329,0.053206394880245894
681,p012,6.0,A,M,1.0,1.0,1.0,1,1.0,0.0,0.0,1.0,0.9698818891476362,0.9616521199544271,0.0,1.0,0.08202391404371995,0.08181708898299779,2.0,0.0,0.05907118626129933,0.05874714484581581,1.0,1.0,0.05874714484581581,0.06005775011502779,0.0,,0.049758605467967496,0.05043139213170761
687,p013,6.0,A,F,0.0,0.0,1.0,1,0.0,1.0,1.0,1.0,0.10245858705960788,0.10389416034405048,0.0,1.0,0.06974409788082807,0.07088332298474434,1.0,0.0,0.056959684078509994,0.056781646532890126,1.0,0.0,0.056781646532890126,0.05796516858614408,1.0,0.0,0.05796516858614408,0.05910807389479417
707,p025,7.0,A,F,0.0,0.0,1.0,1,1.0,1.0,2.0,1.0,0.08047783680451222,0.08202391404371995,2.0,0.0,0.0337372437501565,0.030547487430083446,1.0,0.0,0.030547487430083446,0.02698842990092742,1.0,0.0,0.02698842990092742,0.027755529452592898,2.0,0.0,0.027755529452592898,0.02794226621970152
712,p117,6.0,B,F,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,0.9698818891476362,0.9616521199544271,0.0,1.0,0.9616521199544271,0.959145766038161,1.0,0.0,0.0731184604840401,0.07467131125621307,2.0,0.0,0.07467131125621307,0.0760338489825909,1.0,0.0,0.0760338489825909,0.0768125668550149
724,p010,7.0,A,F,0.0,1.0,1.0,1,2.0,1.0,1.0,0.0,0.4011278396997696,0.3178064150687976,2.0,0.0,0.3178064150687976,0.21293317354642427,1.0,0.0,0.21293317354642427,0.10531836289625901,2.0,0.0,0.10531836289625901,0.10693102616530198,0.0,,0.10693102616530198,0.1080308571839944
735,p026,6.0,A,F,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.982697022266877,0.9698818891476362,1.0,1.0,0.08047783680451222,0.08202391404371995,1.0,0.0,0.05907118626129933,0.05874714484581581,0.0,0.0,0.05874714484581581,0.06005775011502779,1.0,1.0,0.06005775011502779,0.06124406594496507
741,p058,7.0,A,M,1.0,0.0,1.0,1,2.0,1.0,2.0,1.0,0.4011278396997696,0.3178064150687976,0.0,1.0,0.2673568236522185,0.17148072902972883,1.0,0.0,0.10607460217598157,0.06645977191435985,2.0,1.0,0.06645977191435985,0.036091321553939425,0.0,,0.03383784722059201,0.03459574626042293
743,p011,6.0,A,M,1.0,0.0,1.0,1,1.0,1.0,0.0,1.0,0.08047783680451222,0.08202391404371995,1.0,1.0,0.0613862856840476,0.06123735354496883,1.0,0.0,0.05150036934094551,0.05266030629475912,0.0,0.0,0.05266030629475912,0.053484189204680614,0.0,1.0,0.053484189204680614,0.05428893749530499
750,p106,5.0,B,F,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,0.08047783680451222,0.08202391404371995,1.0,1.0,0.05907118626129933,0.05874714484581581,1.0,0.0,0.049541882979564175,0.05062967080336351,1.0,0.0,0.05062967080336351,0.05127246563251202,0.0,0.0,0.05127246563251202,0.05222406142797226
753,p052,8.0,A,M,1.0,0.0,1.0,1,1.0,0.0,1.0,1.0,0.9698818891476362,0.9616521199544271,0.0,0.0,0.07343728114397098,0.0731184604840401,1.0,0.0,0.0731184604840401,0.07467131125621307,0.0,0.0,0.07467131125621307,0.0760338489825909,1.0,0.0,0.0760338489825909,0.0768125668550149
